id,video_url,view_count,likes,retweets,post
90,https://twitter.com/realzaidzayn/status/1590026060842041344?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
91,https://twitter.com/vespaarancione/status/1590026095247912961?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
92,https://twitter.com/ofiresearch/status/1590026152307228673?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
93,https://twitter.com/Dtrainboy/status/1590026797827371008?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
94,https://twitter.com/Ant52529536Jose/status/1590027869886943232?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
95,https://twitter.com/ben_kew/status/1590028157897187328?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
96,https://twitter.com/N4v1gat0r/status/1590029134574780416?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
97,https://twitter.com/tcvatandasi16/status/1590029526557675520?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
98,https://twitter.com/LetItShine69/status/1590031182615703554?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
99,https://twitter.com/gchahal/status/1590031161639997440?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
100,https://twitter.com/NikiD86394644/status/1590031779733606400?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
101,https://twitter.com/AmericanPigeon/status/1590032080494546945?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
102,https://twitter.com/BridgesCassius/status/1590032259356057600?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
103,https://twitter.com/Rivershits_/status/1590032297356849152?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
104,https://twitter.com/pimentonverde/status/1590032850216423430?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
105,https://twitter.com/_dumblibtards/status/1590033597461065728?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
106,https://twitter.com/AlexSofamous/status/1590033652456755200?s=20&t=Hr_S9D5NJbHoemjxo1Pgaw,,,,
107,https://twitter.com/D67047579/status/1590034345783595013?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
108,https://twitter.com/IAmWilling2DoIt/status/1590034683101732865?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
109,https://twitter.com/funadian/status/1590034706556276736?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
110,https://twitter.com/ayhmeh/status/1590034875620659201?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
111,https://twitter.com/BrianSLuzier/status/1590035083200811011?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
112,https://twitter.com/FidenMr/status/1590035311391825920?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
113,https://twitter.com/Janebon34813396/status/1590036148260597760?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
114,https://twitter.com/laderechadiario/status/1590036205466710017?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
115,https://twitter.com/HustusMichael/status/1590036578856206336?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
116,https://twitter.com/realerichayes/status/1590036724230811649,,,,
117,https://twitter.com/realerichayes/status/1590036724230811649,,,,
118,https://twitter.com/DeplorablesReal/status/1590037493327360000?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
119,https://twitter.com/Gusti_Mauri/status/1590038034824986625?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
120,https://twitter.com/SEODESIGNTECH/status/1590038437620781056?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
121,https://twitter.com/Sheckyi/status/1590038939079147523?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
122,https://twitter.com/Marbella24com/status/1590039297801216000?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
123,https://twitter.com/TenderTaser/status/1590039511693950976?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
126,https://twitter.com/TruTHGiRL__/status/1590039954121691136?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
127,https://twitter.com/douglas_dalziel/status/1590040292950003713?s=20&t=RbKebVTQf__yZuvHGLPQ3A,,,,
128,https://twitter.com/Rafelito1956/status/1590040731787620355?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
129,https://twitter.com/bigDkenna1/status/1590040938868531202?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
130,https://twitter.com/bigDkenna1/status/1590040938868531202?s=20&t=RbKebVTQf__yZuvHGLPQ3A,,,,
131,https://twitter.com/IReveiller/status/1590041012894040064?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
132,https://twitter.com/Malbel17/status/1590041198676295682?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
133,https://twitter.com/OrlvndoA/status/1590041352070647808?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
134,https://twitter.com/Justice_forum/status/1590041390020702208?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
135,https://twitter.com/NguyenK68421403/status/1590041667327098882?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
136,https://twitter.com/1607Danie/status/1590041982910746625?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
137,https://twitter.com/_GoodyOne_/status/1590042131930177536?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
138,https://twitter.com/TheFocusNewsOrg/status/1590042448578764802?s=20&t=GkN67iYXyz_zwB0rOpBgHQ,,,,
139,https://twitter.com/CitizenFreePres/status/1590042622860460033?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
140,https://twitter.com/CitizenFreePres/status/1590042622860460033?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
141,https://twitter.com/rhgfdrth/status/1590042828499189761?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
142,https://twitter.com/rhgfdrth/status/1590042828499189761?s=20&t=VfSTkgiDtNRGAlLEfJAKfQ,,,,
143,https://twitter.com/IrishAmerican27/status/1590043033529384961?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
144,https://twitter.com/jonjust6/status/1590043300203200512?s=20&t=zvkX7igq0i-dHGqYwcFgdw,,,,
145,https://twitter.com/TwitSpain/status/1590043301926866946?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
146,https://twitter.com/R_Braumberger/status/1590043490079367168?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
147,https://twitter.com/arishmaryshow/status/1590043499667546113?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
148,https://twitter.com/Andreas20778147/status/1590043927511322624?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
149,https://twitter.com/AMErikaNGIRLLL/status/1590044005769019395?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
150,https://twitter.com/ThomLillyLayne/status/1590045284440035328?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
151,https://twitter.com/ThomLillyLayne/status/1590045284440035328?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
152,https://twitter.com/mioficialcuenta/status/1590045368267735040?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
153,https://twitter.com/mioficialcuenta/status/1590045468217593856?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
154,https://twitter.com/Informa3Chile/status/1590045534492192769?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
155,https://twitter.com/aMePrGQX3dSE6TX/status/1590045962369572864?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
156,https://twitter.com/officer_Lew/status/1590046388007895040?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
157,https://twitter.com/LaDonnaK3/status/1590046709786501121?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
158,https://twitter.com/eclipsethis2003/status/1590047861420732417?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
159,https://twitter.com/george_orwell3/status/1590048005448957953?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
160,https://twitter.com/LockharTVMedia/status/1590048133614272514?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
161,https://twitter.com/i4interactive/status/1590048669260300288?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
162,https://twitter.com/PhilmoreRobert/status/1590048863884541953,,,,
163,https://twitter.com/EddieOakes4/status/1590049235776438272?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
164,https://twitter.com/NicoleB90060307/status/1590049377590325248?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
165,https://twitter.com/Fantom01010/status/1590050832992854016?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
166,https://twitter.com/Fantom01010/status/1590050832992854016?s=20&t=VfSTkgiDtNRGAlLEfJAKfQ,,,,
167,https://twitter.com/dcexaminer/status/1590051366990667776?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
168,https://twitter.com/HumanDilemma_/status/1590051390864338945?s=20&t=HBpbXdp37KJaYDN-GUrQvQ,,,,
